gene	regulation	no_samples	signature	gene	regulation	no_samples	signature	gene	regulation	no_samples	signature	gene	regulation	no_samples	signature	gene	regulation	no_samples	signature	gene	regulation	no_samples	signature
																CDH19	DOWN	16	mesenchymal_stem_like	MCM5	DOWN	28	luminal_ar
																GPR37	DOWN	20	mesenchymal_stem_like	MCM6	DOWN	22	luminal_ar
																TMSB15B	DOWN	18	mesenchymal_stem_like	MCM7	DOWN	29	luminal_ar
																ANK3	DOWN	13	mesenchymal_stem_like	ART3	DOWN	44	luminal_ar
																GRB10	DOWN	13	mesenchymal_stem_like	MDK	DOWN	29	luminal_ar
																GRB14	DOWN	18	mesenchymal_stem_like	ME2	DOWN	28	luminal_ar
																SLC27A6	DOWN	13	mesenchymal_stem_like	MEF2A	DOWN	24	luminal_ar
																MRPL42	DOWN	20	mesenchymal_stem_like	MFAP2	DOWN	28	luminal_ar
																MRPL13	DOWN	18	mesenchymal_stem_like	MFGE8	DOWN	39	luminal_ar
																ATAD2	DOWN	23	mesenchymal_stem_like	SCGB2A1	DOWN	24	luminal_ar
																MRPL15	DOWN	16	mesenchymal_stem_like	MGST3	DOWN	32	luminal_ar
																CNIH4	DOWN	13	mesenchymal_stem_like	MICB	DOWN	29	luminal_ar
																RACGAP1	DOWN	22	mesenchymal_stem_like	MID1	DOWN	36	luminal_ar
																GSK3B	DOWN	13	mesenchymal_stem_like	CXCL9	DOWN	24	luminal_ar
																GSPT1	DOWN	14	mesenchymal_stem_like	MKI67	DOWN	32	luminal_ar
																GSTA2	DOWN	13	mesenchymal_stem_like	MLF1	DOWN	32	luminal_ar
																MSH6	DOWN	17	mesenchymal_stem_like	MMP7	DOWN	37	luminal_ar
																GTF2H4	DOWN	15	mesenchymal_stem_like	MMP9	DOWN	25	luminal_ar
																GTF3C2	DOWN	15	mesenchymal_stem_like	MMP12	DOWN	29	luminal_ar
																GNL2	DOWN	16	mesenchymal_stem_like	MXRA7	DOWN	23	luminal_ar
																GPSM2	DOWN	20	mesenchymal_stem_like	ASNS	DOWN	25	luminal_ar
																SAC3D1	DOWN	15	mesenchymal_stem_like	DDX12	DOWN	22	luminal_ar
																HIG2	DOWN	18	mesenchymal_stem_like	SUZ12P	DOWN	25	luminal_ar
																ALG6	DOWN	15	mesenchymal_stem_like	MSH2	DOWN	22	luminal_ar
																PSAT1	DOWN	16	mesenchymal_stem_like	PALM2-AKAP2	DOWN	30	luminal_ar
																DONSON	DOWN	19	mesenchymal_stem_like	MSN	DOWN	29	luminal_ar
																OBP2B	DOWN	15	mesenchymal_stem_like	MT1M	DOWN	28	luminal_ar
																ERO1L	DOWN	17	mesenchymal_stem_like	MX1	DOWN	35	luminal_ar
																HIST1H1C	DOWN	14	mesenchymal_stem_like	MX2	DOWN	32	luminal_ar
																HIST1H2AE	DOWN	18	mesenchymal_stem_like	MXI1	DOWN	24	luminal_ar
																HIST1H2AD	DOWN	13	mesenchymal_stem_like	MYBL1	DOWN	40	luminal_ar
																H2AFX	DOWN	15	mesenchymal_stem_like	MYC	DOWN	35	luminal_ar
																H2AFZ	DOWN	18	mesenchymal_stem_like	MYCL1	DOWN	23	luminal_ar
																HIST1H2BD	DOWN	17	mesenchymal_stem_like	MYH10	DOWN	28	luminal_ar
																HSD17B10	DOWN	14	mesenchymal_stem_like	NAB1	DOWN	25	luminal_ar
																HDAC2	DOWN	16	mesenchymal_stem_like	NASP	DOWN	25	luminal_ar
																HDGF	DOWN	16	mesenchymal_stem_like	NCK1	DOWN	32	luminal_ar
																HELLS	DOWN	21	mesenchymal_stem_like	NEFH	DOWN	23	luminal_ar
																HK2	DOWN	14	mesenchymal_stem_like	NEK2	DOWN	31	luminal_ar
																HLA-DRB4	DOWN	13	mesenchymal_stem_like	NELL2	DOWN	23	luminal_ar
																HMGB2	DOWN	16	mesenchymal_stem_like	NFATC1	DOWN	27	luminal_ar
																HMGB3	DOWN	19	mesenchymal_stem_like	NFIB	DOWN	32	luminal_ar
																HMGA1	DOWN	14	mesenchymal_stem_like	NFIL3	DOWN	26	luminal_ar
																HMMR	DOWN	23	mesenchymal_stem_like	NFIX	DOWN	26	luminal_ar
																HPRT1	DOWN	14	mesenchymal_stem_like	NFKBIE	DOWN	24	luminal_ar
																HSD17B2	DOWN	16	mesenchymal_stem_like	NMB	DOWN	23	luminal_ar
																HSF1	DOWN	17	mesenchymal_stem_like	NOTCH1	DOWN	41	luminal_ar
																HSPA1B	DOWN	15	mesenchymal_stem_like	NPR3	DOWN	29	luminal_ar
																HSPA4	DOWN	14	mesenchymal_stem_like	NPY1R	DOWN	37	luminal_ar
																BIRC5	DOWN	20	mesenchymal_stem_like	NRAS	DOWN	30	luminal_ar
																HSP90AB1	DOWN	13	mesenchymal_stem_like	NRTN	DOWN	38	luminal_ar
																HSPD1	DOWN	18	mesenchymal_stem_like	YBX1	DOWN	26	luminal_ar
																HSPE1	DOWN	18	mesenchymal_stem_like	NTRK2	DOWN	27	luminal_ar
																DNAJB1	DOWN	16	mesenchymal_stem_like	ROR1	DOWN	27	luminal_ar
																IARS	DOWN	15	mesenchymal_stem_like	ATP2B4	DOWN	28	luminal_ar
																FAM5C	DOWN	17	mesenchymal_stem_like	OAS2	DOWN	22	luminal_ar
																ICT1	DOWN	15	mesenchymal_stem_like	ODC1	DOWN	26	luminal_ar
																APOC1	DOWN	13	mesenchymal_stem_like	TNFRSF11B	DOWN	27	luminal_ar
																IDI1	DOWN	15	mesenchymal_stem_like	PCSK6	DOWN	37	luminal_ar
																IFRD1	DOWN	18	mesenchymal_stem_like	G0S2	DOWN	25	luminal_ar
																IL1RN	DOWN	17	mesenchymal_stem_like	SERPINB2	DOWN	29	luminal_ar
																IL8	DOWN	15	mesenchymal_stem_like	PAK2	DOWN	26	luminal_ar
																IL12RB2	DOWN	14	mesenchymal_stem_like	GEMIN4	DOWN	24	luminal_ar
																FOXK2	DOWN	17	mesenchymal_stem_like	ARHGEF4	DOWN	28	luminal_ar
																ILF2	DOWN	20	mesenchymal_stem_like	PAM	DOWN	31	luminal_ar
																ILF3	DOWN	13	mesenchymal_stem_like	ASAP1	DOWN	22	luminal_ar
																IMPA2	DOWN	17	mesenchymal_stem_like	HDGFRP3	DOWN	31	luminal_ar
																IDO1	DOWN	17	mesenchymal_stem_like	PCDH8	DOWN	26	luminal_ar
																CXCL10	DOWN	14	mesenchymal_stem_like	MTERFD1	DOWN	23	luminal_ar
																IRAK1	DOWN	14	mesenchymal_stem_like	RRP15	DOWN	22	luminal_ar
																AQP9	DOWN	15	mesenchymal_stem_like	FAM18B	DOWN	22	luminal_ar
																IRF6	DOWN	13	mesenchymal_stem_like	GMNN	DOWN	27	luminal_ar
																ITPR3	DOWN	15	mesenchymal_stem_like	LAP3	DOWN	22	luminal_ar
																KCNK1	DOWN	20	mesenchymal_stem_like	GAL	DOWN	39	luminal_ar
																KIF11	DOWN	21	mesenchymal_stem_like	SCCPDH	DOWN	24	luminal_ar
																KIFC1	DOWN	18	mesenchymal_stem_like	PLEKHO1	DOWN	26	luminal_ar
																KIF22	DOWN	13	mesenchymal_stem_like	HSPA14	DOWN	26	luminal_ar
																KPNA2	DOWN	20	mesenchymal_stem_like	HERC5	DOWN	35	luminal_ar
																ARG2	DOWN	16	mesenchymal_stem_like	PLCE1	DOWN	30	luminal_ar
																KRT6A	DOWN	22	mesenchymal_stem_like	DDX47	DOWN	24	luminal_ar
																KRT6B	DOWN	18	mesenchymal_stem_like	PCP4	DOWN	35	luminal_ar
																SLC6A10P	DOWN	15	mesenchymal_stem_like	GOLM1	DOWN	23	luminal_ar
																KRT16	DOWN	17	mesenchymal_stem_like	PCTK3	DOWN	31	luminal_ar
																KRT17	DOWN	13	mesenchymal_stem_like	CD320	DOWN	25	luminal_ar
																KRT81	DOWN	14	mesenchymal_stem_like	CYP39A1	DOWN	35	luminal_ar
																OR7E38P	DOWN	13	mesenchymal_stem_like	ARMCX1	DOWN	25	luminal_ar
																L1CAM	DOWN	14	mesenchymal_stem_like	SLC25A37	DOWN	30	luminal_ar
																LAD1	DOWN	16	mesenchymal_stem_like	PLAC8	DOWN	24	luminal_ar
																ACAT2	DOWN	14	mesenchymal_stem_like	MEX3C	DOWN	33	luminal_ar
																LALBA	DOWN	14	mesenchymal_stem_like	CRLF3	DOWN	23	luminal_ar
																STMN1	DOWN	18	mesenchymal_stem_like	PDE4B	DOWN	25	luminal_ar
																LBP	DOWN	14	mesenchymal_stem_like	VGLL1	DOWN	34	luminal_ar
																LDHA	DOWN	13	mesenchymal_stem_like	RNF138	DOWN	30	luminal_ar
																LGALS8	DOWN	13	mesenchymal_stem_like	ISYNA1	DOWN	28	luminal_ar
																LIG1	DOWN	14	mesenchymal_stem_like	GTSE1	DOWN	26	luminal_ar
																LLGL2	DOWN	13	mesenchymal_stem_like	DTL	DOWN	30	luminal_ar
																MEX3D	DOWN	13	mesenchymal_stem_like	PDE9A	DOWN	33	luminal_ar
																LMNB1	DOWN	18	mesenchymal_stem_like	PDK3	DOWN	30	luminal_ar
																C16orf88	DOWN	17	mesenchymal_stem_like	CYB5R2	DOWN	35	luminal_ar
																LY6E	DOWN	17	mesenchymal_stem_like	RP6-213H19.1	DOWN	34	luminal_ar
																CAPRIN1	DOWN	13	mesenchymal_stem_like	PEG3	DOWN	31	luminal_ar
																MAD2L1	DOWN	22	mesenchymal_stem_like	PFDN2	DOWN	35	luminal_ar
																MAGEA3	DOWN	17	mesenchymal_stem_like	PFDN4	DOWN	28	luminal_ar
																MAGEA4	DOWN	13	mesenchymal_stem_like	PFKFB3	DOWN	22	luminal_ar
																MAGEA6	DOWN	17	mesenchymal_stem_like	PFKM	DOWN	28	luminal_ar
																MAGEA12	DOWN	13	mesenchymal_stem_like	PFKP	DOWN	23	luminal_ar
																MAGOH	DOWN	19	mesenchymal_stem_like	PFN2	DOWN	26	luminal_ar
																MARS	DOWN	16	mesenchymal_stem_like	PI3	DOWN	32	luminal_ar
																MAT2A	DOWN	13	mesenchymal_stem_like	SERPINB5	DOWN	41	luminal_ar
																MB	DOWN	15	mesenchymal_stem_like	SERPINE2	DOWN	30	luminal_ar
																MCM2	DOWN	22	mesenchymal_stem_like	PIK3CA	DOWN	23	luminal_ar
																MCM3	DOWN	15	mesenchymal_stem_like	PIM1	DOWN	30	luminal_ar
																MCM4	DOWN	22	mesenchymal_stem_like	PIK3CD	DOWN	22	luminal_ar
																MCM5	DOWN	13	mesenchymal_stem_like	PITX1	DOWN	25	luminal_ar
																MCM6	DOWN	20	mesenchymal_stem_like	PKP1	DOWN	41	luminal_ar
																MCM7	DOWN	17	mesenchymal_stem_like	PLA2G4A	DOWN	41	luminal_ar
																ART3	DOWN	20	mesenchymal_stem_like	PLAGL1	DOWN	36	luminal_ar
																ME1	DOWN	14	mesenchymal_stem_like	BCL11A	DOWN	43	luminal_ar
																ME2	DOWN	13	mesenchymal_stem_like	PLCG2	DOWN	30	luminal_ar
																SCGB2A1	DOWN	14	mesenchymal_stem_like	PLK1	DOWN	27	luminal_ar
																MIF	DOWN	14	mesenchymal_stem_like	PLOD2	DOWN	32	luminal_ar
																MKI67	DOWN	20	mesenchymal_stem_like	PLS3	DOWN	30	luminal_ar
																MLF1	DOWN	17	mesenchymal_stem_like	PLSCR1	DOWN	33	luminal_ar
																MMP1	DOWN	13	mesenchymal_stem_like	PLTP	DOWN	24	luminal_ar
																MMP7	DOWN	13	mesenchymal_stem_like	PLXNA1	DOWN	26	luminal_ar
																MMP11	DOWN	13	mesenchymal_stem_like	PMAIP1	DOWN	40	luminal_ar
																MMP12	DOWN	20	mesenchymal_stem_like	FXYD6	DOWN	30	luminal_ar
																ASNS	DOWN	21	mesenchymal_stem_like	C21orf91	DOWN	31	luminal_ar
																DDX12	DOWN	15	mesenchymal_stem_like	PODXL	DOWN	31	luminal_ar
																LOC440354	DOWN	13	mesenchymal_stem_like	POLR2F	DOWN	27	luminal_ar
																MSH2	DOWN	23	mesenchymal_stem_like	GFOD1	DOWN	28	luminal_ar
																MST1R	DOWN	19	mesenchymal_stem_like	FAM64A	DOWN	34	luminal_ar
																NUDT1	DOWN	17	mesenchymal_stem_like	ZDHHC13	DOWN	35	luminal_ar
																MTIF2	DOWN	13	mesenchymal_stem_like	PUS7	DOWN	33	luminal_ar
																MUC1	DOWN	17	mesenchymal_stem_like	CCNJ	DOWN	22	luminal_ar
																MX1	DOWN	14	mesenchymal_stem_like	MED1	DOWN	24	luminal_ar
																MYB	DOWN	14	mesenchymal_stem_like	PPAT	DOWN	26	luminal_ar
																MYBL1	DOWN	20	mesenchymal_stem_like	XAF1	DOWN	30	luminal_ar
																MYBPC1	DOWN	16	mesenchymal_stem_like	ROPN1	DOWN	43	luminal_ar
																MYBL2	DOWN	16	mesenchymal_stem_like	KCTD9	DOWN	24	luminal_ar
																MYC	DOWN	15	mesenchymal_stem_like	KLHL24	DOWN	23	luminal_ar
																MYO6	DOWN	13	mesenchymal_stem_like	TRIT1	DOWN	25	luminal_ar
																MYO10	DOWN	16	mesenchymal_stem_like	TEX10	DOWN	27	luminal_ar
																NASP	DOWN	16	mesenchymal_stem_like	NCAPG2	DOWN	23	luminal_ar
																CEACAM6	DOWN	15	mesenchymal_stem_like	CDKAL1	DOWN	28	luminal_ar
																NBN	DOWN	15	mesenchymal_stem_like	C10orf18	DOWN	30	luminal_ar
																NCBP1	DOWN	16	mesenchymal_stem_like	SEMA4C	DOWN	23	luminal_ar
																NDUFA9	DOWN	16	mesenchymal_stem_like	RHBDL2	DOWN	27	luminal_ar
																NEK2	DOWN	19	mesenchymal_stem_like	SLC41A3	DOWN	22	luminal_ar
																NME1	DOWN	16	mesenchymal_stem_like	ODAM	DOWN	25	luminal_ar
																NOP2	DOWN	18	mesenchymal_stem_like	TIPIN	DOWN	27	luminal_ar
																NP	DOWN	13	mesenchymal_stem_like	HERC6	DOWN	32	luminal_ar
																NPM1	DOWN	16	mesenchymal_stem_like	PHIP	DOWN	22	luminal_ar
																NPR3	DOWN	13	mesenchymal_stem_like	MOCOS	DOWN	27	luminal_ar
																NRTN	DOWN	14	mesenchymal_stem_like	CDCA4	DOWN	22	luminal_ar
																NVL	DOWN	13	mesenchymal_stem_like	SUSD4	DOWN	36	luminal_ar
																OCA2	DOWN	14	mesenchymal_stem_like	OXR1	DOWN	23	luminal_ar
																ORC1L	DOWN	13	mesenchymal_stem_like	SOBP	DOWN	31	luminal_ar
																ORM1	DOWN	23	mesenchymal_stem_like	WDYHV1	DOWN	25	luminal_ar
																ORM2	DOWN	23	mesenchymal_stem_like	GPATCH1	DOWN	23	luminal_ar
																P4HA1	DOWN	13	mesenchymal_stem_like	SLC6A15	DOWN	27	luminal_ar
																PAFAH1B3	DOWN	18	mesenchymal_stem_like	FANCL	DOWN	32	luminal_ar
																PRDX1	DOWN	13	mesenchymal_stem_like	HEATR1	DOWN	28	luminal_ar
																PAK2	DOWN	13	mesenchymal_stem_like	RBM28	DOWN	26	luminal_ar
																PAX6	DOWN	16	mesenchymal_stem_like	CDCA8	DOWN	29	luminal_ar
																IRX4	DOWN	14	mesenchymal_stem_like	LRRC8D	DOWN	32	luminal_ar
																NSDHL	DOWN	16	mesenchymal_stem_like	ZDHHC4	DOWN	29	luminal_ar
																F11R	DOWN	18	mesenchymal_stem_like	MTPAP	DOWN	31	luminal_ar
																ATP5C1	DOWN	15	mesenchymal_stem_like	TMEM38B	DOWN	29	luminal_ar
																PCCB	DOWN	14	mesenchymal_stem_like	ARHGEF10L	DOWN	32	luminal_ar
																PCDH8	DOWN	13	mesenchymal_stem_like	CEP55	DOWN	30	luminal_ar
																MTERFD1	DOWN	20	mesenchymal_stem_like	RNF220	DOWN	22	luminal_ar
																TPRKB	DOWN	15	mesenchymal_stem_like	NUDT11	DOWN	22	luminal_ar
																RRP15	DOWN	19	mesenchymal_stem_like	C12orf35	DOWN	23	luminal_ar
																GLRX2	DOWN	15	mesenchymal_stem_like	RPRD1A	DOWN	22	luminal_ar
																GOLT1B	DOWN	16	mesenchymal_stem_like	ZNF532	DOWN	26	luminal_ar
																BOLA1	DOWN	19	mesenchymal_stem_like	LEPREL1	DOWN	28	luminal_ar
																PPPDE1	DOWN	13	mesenchymal_stem_like	FANCI	DOWN	33	luminal_ar
																ZNF593	DOWN	15	mesenchymal_stem_like	PNMAL1	DOWN	36	luminal_ar
																GMNN	DOWN	17	mesenchymal_stem_like	YY1AP1	DOWN	31	luminal_ar
																PCK2	DOWN	15	mesenchymal_stem_like	PPP3CA	DOWN	23	luminal_ar
																MEMO1	DOWN	14	mesenchymal_stem_like	LARP6	DOWN	33	luminal_ar
																GAL	DOWN	15	mesenchymal_stem_like	AGPAT5	DOWN	26	luminal_ar
																YBX2	DOWN	14	mesenchymal_stem_like	LAPTM4B	DOWN	28	luminal_ar
																APH1A	DOWN	16	mesenchymal_stem_like	HJURP	DOWN	29	luminal_ar
																PCNA	DOWN	15	mesenchymal_stem_like	LGR4	DOWN	30	luminal_ar
																LACTB2	DOWN	16	mesenchymal_stem_like	MCM10	DOWN	35	luminal_ar
																FAM82B	DOWN	13	mesenchymal_stem_like	PRCC	DOWN	29	luminal_ar
																UTP11L	DOWN	14	mesenchymal_stem_like	PREP	DOWN	28	luminal_ar
																HN1	DOWN	18	mesenchymal_stem_like	PRF1	DOWN	24	luminal_ar
																HSPA14	DOWN	18	mesenchymal_stem_like	IL17RB	DOWN	30	luminal_ar
																HERC5	DOWN	14	mesenchymal_stem_like	RBM38	DOWN	32	luminal_ar
																NUSAP1	DOWN	25	mesenchymal_stem_like	DDX60	DOWN	26	luminal_ar
																PCP4	DOWN	16	mesenchymal_stem_like	PPP1R9A	DOWN	27	luminal_ar
																PCTK1	DOWN	15	mesenchymal_stem_like	FERMT1	DOWN	41	luminal_ar
																SLC25A37	DOWN	13	mesenchymal_stem_like	ZNF673	DOWN	24	luminal_ar
																C8orf55	DOWN	16	mesenchymal_stem_like	CHD7	DOWN	22	luminal_ar
																HOOK1	DOWN	16	mesenchymal_stem_like	NLRP2	DOWN	26	luminal_ar
																MRPS17	DOWN	18	mesenchymal_stem_like	YEATS2	DOWN	31	luminal_ar
																UCHL5	DOWN	18	mesenchymal_stem_like	FRMD4A	DOWN	23	luminal_ar
																ZNF107	DOWN	13	mesenchymal_stem_like	IPO9	DOWN	26	luminal_ar
																VGLL1	DOWN	17	mesenchymal_stem_like	TSR1	DOWN	27	luminal_ar
																GPR89B	DOWN	17	mesenchymal_stem_like	C12orf11	DOWN	26	luminal_ar
																NOP16	DOWN	15	mesenchymal_stem_like	C1orf112	DOWN	28	luminal_ar
																PTPLAD1	DOWN	13	mesenchymal_stem_like	C6orf64	DOWN	23	luminal_ar
																GTSE1	DOWN	21	mesenchymal_stem_like	PRKCA	DOWN	23	luminal_ar
																DTL	DOWN	21	mesenchymal_stem_like	UTP6	DOWN	25	luminal_ar
																LSR	DOWN	14	mesenchymal_stem_like	DOK5	DOWN	34	luminal_ar
																METTL13	DOWN	13	mesenchymal_stem_like	CENPN	DOWN	23	luminal_ar
																PDK3	DOWN	18	mesenchymal_stem_like	PKN1	DOWN	28	luminal_ar
																PTRH2	DOWN	16	mesenchymal_stem_like	PKN2	DOWN	22	luminal_ar
																GINS2	DOWN	18	mesenchymal_stem_like	DBNDD2	DOWN	32	luminal_ar
																ZFR	DOWN	14	mesenchymal_stem_like	ECHDC1	DOWN	37	luminal_ar
																HSPB11	DOWN	14	mesenchymal_stem_like	PBK	DOWN	37	luminal_ar
																OAZ3	DOWN	17	mesenchymal_stem_like	PRKDC	DOWN	25	luminal_ar
																CYB5R2	DOWN	13	mesenchymal_stem_like	NXT2	DOWN	23	luminal_ar
																PADI3	DOWN	14	mesenchymal_stem_like	KLHL7	DOWN	28	luminal_ar
																POLR3K	DOWN	15	mesenchymal_stem_like	EIF2AK2	DOWN	24	luminal_ar
																RP6-213H19.1	DOWN	17	mesenchymal_stem_like	PRKX	DOWN	38	luminal_ar
																PEG3	DOWN	13	mesenchymal_stem_like	PRNP	DOWN	23	luminal_ar
																CALML5	DOWN	17	mesenchymal_stem_like	PROS1	DOWN	23	luminal_ar
																PEX13	DOWN	16	mesenchymal_stem_like	PRPS2	DOWN	25	luminal_ar
																PFDN2	DOWN	17	mesenchymal_stem_like	PRPSAP1	DOWN	23	luminal_ar
																PFKP	DOWN	21	mesenchymal_stem_like	PRPSAP2	DOWN	24	luminal_ar
																PGK1	DOWN	14	mesenchymal_stem_like	KLK7	DOWN	35	luminal_ar
																PHKA1	DOWN	19	mesenchymal_stem_like	KLK6	DOWN	36	luminal_ar
																PI3	DOWN	18	mesenchymal_stem_like	KLK10	DOWN	38	luminal_ar
																ATP6V1C1	DOWN	13	mesenchymal_stem_like	CYP26B1	DOWN	33	luminal_ar
																PIP	DOWN	14	mesenchymal_stem_like	C10orf2	DOWN	27	luminal_ar
																PKP1	DOWN	18	mesenchymal_stem_like	C1GALT1	DOWN	30	luminal_ar
																PLA2G4A	DOWN	13	mesenchymal_stem_like	EXOSC5	DOWN	23	luminal_ar
																PLK1	DOWN	23	mesenchymal_stem_like	PSMB4	DOWN	27	luminal_ar
																PLS1	DOWN	13	mesenchymal_stem_like	LXN	DOWN	24	luminal_ar
																PMAIP1	DOWN	18	mesenchymal_stem_like	ARNTL2	DOWN	37	luminal_ar
																PMS2L1	DOWN	13	mesenchymal_stem_like	SMYD2	DOWN	27	luminal_ar
																GPR87	DOWN	15	mesenchymal_stem_like	PSMB9	DOWN	29	luminal_ar
																DUOX1	DOWN	13	mesenchymal_stem_like	KIF15	DOWN	33	luminal_ar
																ACP5	DOWN	13	mesenchymal_stem_like	CHPT1	DOWN	33	luminal_ar
																C21orf45	DOWN	18	mesenchymal_stem_like	CABC1	DOWN	33	luminal_ar
																H2BFS	DOWN	18	mesenchymal_stem_like	HRASLS	DOWN	26	luminal_ar
																MRPL39	DOWN	14	mesenchymal_stem_like	LYRM4	DOWN	22	luminal_ar
																C21orf91	DOWN	16	mesenchymal_stem_like	C6orf162	DOWN	23	luminal_ar
																CYCS	DOWN	13	mesenchymal_stem_like	PELI1	DOWN	24	luminal_ar
																TREM1	DOWN	18	mesenchymal_stem_like	ACTR3B	DOWN	42	luminal_ar
																POLA1	DOWN	14	mesenchymal_stem_like	GPR126	DOWN	23	luminal_ar
																POLB	DOWN	18	mesenchymal_stem_like	LOC57228	DOWN	30	luminal_ar
																POLD1	DOWN	15	mesenchymal_stem_like	PTCH1	DOWN	27	luminal_ar
																POLD2	DOWN	13	mesenchymal_stem_like	TTYH1	DOWN	40	luminal_ar
																POLE2	DOWN	19	mesenchymal_stem_like	S100A14	DOWN	28	luminal_ar
																POLR2D	DOWN	14	mesenchymal_stem_like	SPC25	DOWN	24	luminal_ar
																POLR2F	DOWN	16	mesenchymal_stem_like	SLC24A3	DOWN	30	luminal_ar
																POLR2K	DOWN	20	mesenchymal_stem_like	PTGS2	DOWN	31	luminal_ar
																GAR1	DOWN	14	mesenchymal_stem_like	NDRG2	DOWN	30	luminal_ar
																PON3	DOWN	15	mesenchymal_stem_like	KIAA1305	DOWN	23	luminal_ar
																POR	DOWN	13	mesenchymal_stem_like	PTN	DOWN	22	luminal_ar
																FAM64A	DOWN	19	mesenchymal_stem_like	POGK	DOWN	31	luminal_ar
																UGT2B28	DOWN	19	mesenchymal_stem_like	QSOX1	DOWN	26	luminal_ar
																ZDHHC13	DOWN	14	mesenchymal_stem_like	ANKRD36B	DOWN	24	luminal_ar
																EXOSC4	DOWN	20	mesenchymal_stem_like	LSM2	DOWN	27	luminal_ar
																PUS7	DOWN	17	mesenchymal_stem_like	CCNB1IP1	DOWN	30	luminal_ar
																DDIT4	DOWN	16	mesenchymal_stem_like	PTPN14	DOWN	22	luminal_ar
																EGLN1	DOWN	13	mesenchymal_stem_like	PTPRK	DOWN	29	luminal_ar
																GTPBP2	DOWN	13	mesenchymal_stem_like	ACTA1	DOWN	23	luminal_ar
																KIF1A	DOWN	14	mesenchymal_stem_like	BARD1	DOWN	26	luminal_ar
																PPAT	DOWN	16	mesenchymal_stem_like	PTPRZ1	DOWN	30	luminal_ar
																SLC35F2	DOWN	15	mesenchymal_stem_like	PTX3	DOWN	40	luminal_ar
																ERCC6L	DOWN	18	mesenchymal_stem_like	PTBP2	DOWN	23	luminal_ar
																BSPRY	DOWN	13	mesenchymal_stem_like	PYGL	DOWN	30	luminal_ar
																APTX	DOWN	13	mesenchymal_stem_like	PLEKHB1	DOWN	42	luminal_ar
																RBM35A	DOWN	18	mesenchymal_stem_like	FAM60A	DOWN	31	luminal_ar
																DEF8	DOWN	16	mesenchymal_stem_like	RRAGD	DOWN	26	luminal_ar
																NCAPG2	DOWN	22	mesenchymal_stem_like	RAD21	DOWN	34	luminal_ar
																C10orf18	DOWN	14	mesenchymal_stem_like	RANBP1	DOWN	23	luminal_ar
																CCDC99	DOWN	15	mesenchymal_stem_like	RAP2A	DOWN	23	luminal_ar
																RPP25	DOWN	17	mesenchymal_stem_like	RARRES1	DOWN	34	luminal_ar
																ODAM	DOWN	15	mesenchymal_stem_like	JARID1A	DOWN	23	luminal_ar
																TIPIN	DOWN	16	mesenchymal_stem_like	RBBP8	DOWN	31	luminal_ar
																C20orf11	DOWN	13	mesenchymal_stem_like	RBL1	DOWN	24	luminal_ar
																PAK1IP1	DOWN	17	mesenchymal_stem_like	RBMS1	DOWN	23	luminal_ar
																HERC6	DOWN	16	mesenchymal_stem_like	RBP1	DOWN	29	luminal_ar
																MOCOS	DOWN	19	mesenchymal_stem_like	RCN1	DOWN	28	luminal_ar
																CDCA4	DOWN	18	mesenchymal_stem_like	RCN2	DOWN	30	luminal_ar
																TRMT12	DOWN	16	mesenchymal_stem_like	BCL2	DOWN	26	luminal_ar
																ZWILCH	DOWN	19	mesenchymal_stem_like	BCL2A1	DOWN	29	luminal_ar
																SUSD4	DOWN	14	mesenchymal_stem_like	RFC4	DOWN	29	luminal_ar
																TMEM45A	DOWN	15	mesenchymal_stem_like	RFX5	DOWN	23	luminal_ar
																TMEM51	DOWN	13	mesenchymal_stem_like	RGS10	DOWN	26	luminal_ar
																WDYHV1	DOWN	14	mesenchymal_stem_like	RHEB	DOWN	22	luminal_ar
																MAGOHB	DOWN	21	mesenchymal_stem_like	RNASE1	DOWN	23	luminal_ar
																FANCL	DOWN	16	mesenchymal_stem_like	TGIF2	DOWN	33	luminal_ar
																HEATR1	DOWN	16	mesenchymal_stem_like	TRMT11	DOWN	31	luminal_ar
																RBM28	DOWN	14	mesenchymal_stem_like	RPA1	DOWN	24	luminal_ar
																CDCA8	DOWN	24	mesenchymal_stem_like	RPS21	DOWN	24	luminal_ar
																MSTO1	DOWN	13	mesenchymal_stem_like	RSU1	DOWN	30	luminal_ar
																ARMC1	DOWN	15	mesenchymal_stem_like	RYR1	DOWN	33	luminal_ar
																DARS2	DOWN	16	mesenchymal_stem_like	S100A1	DOWN	42	luminal_ar
																RFWD3	DOWN	13	mesenchymal_stem_like	S100A2	DOWN	41	luminal_ar
																CEP55	DOWN	19	mesenchymal_stem_like	S100A4	DOWN	22	luminal_ar
																SEC61A2	DOWN	18	mesenchymal_stem_like	S100A6	DOWN	36	luminal_ar
																RPRD1A	DOWN	13	mesenchymal_stem_like	S100A13	DOWN	34	luminal_ar
																ATAD3A	DOWN	14	mesenchymal_stem_like	S100B	DOWN	38	luminal_ar
																FANCI	DOWN	20	mesenchymal_stem_like	SAA2	DOWN	28	luminal_ar
																NAT10	DOWN	15	mesenchymal_stem_like	CFB	DOWN	24	luminal_ar
																LRRC1	DOWN	14	mesenchymal_stem_like	SATB1	DOWN	28	luminal_ar
																STEAP3	DOWN	16	mesenchymal_stem_like	CEACAM1	DOWN	28	luminal_ar
