Sample	Cluster
PT039_P10_B04_S208	2
PT039_P10_B05_S209	2
PT039_P10_B07_S211	2
PT039_P10_B08_S212	2
PT039_P10_B09_S213	4
PT039_P10_B11_S215	4
PT039_P10_B12_S216	4
PT039_P10_C03_S219	4
PT039_P10_C04_S220	2
PT039_P10_C05_S221	2
PT039_P10_C06_S222	2
PT039_P10_C09_S225	4
PT039_P10_C10_S226	2
PT039_P10_C12_S228	2
PT039_P10_D01_S229	2
PT039_P10_D03_S231	2
PT039_P10_D04_S232	2
PT039_P10_D09_S237	2
PT039_P10_D10_S238	2
PT039_P10_D11_S239	2
PT039_P10_D12_S240	4
PT039_P10_E01_S241	4
PT039_P10_E04_S244	4
PT039_P10_E07_S247	4
PT039_P10_E08_S248	2
PT039_P10_E09_S249	4
PT039_P10_E11_S251	2
PT039_P10_E12_S252	2
PT039_P10_F02_S254	4
PT039_P10_F03_S255	4
PT039_P10_F07_S259	2
PT039_P10_F09_S261	2
PT039_P10_G03_S267	2
PT039_P10_G06_S270	2
PT039_P10_G07_S271	4
PT039_P10_G11_S275	2
PT039_P10_H03_S279	2
PT039_P10_H05_S281	4
PT039_P10_H07_S283	4
PT039_P10_H09_S285	2
PT039_P10_H11_S287	2
PT039_P10_H12_S288	2
